dataset,target_subject,token_seed,injtype,E3_inj_bacc,E3_netted_rec,ERASE_inj_bacc,ERASE_netted_rec
BNCI2015_001,9,20260723,varmod,0.4883,0.0,0.5083,0.0649
BNCI2015_001,9,20260723,covtoken,0.495,0.0,0.5067,0.0137
BNCI2015_001,9,20260724,varmod,0.4883,0.0,0.545,0.3506
BNCI2015_001,9,20260724,covtoken,0.52,0.0,0.5367,0.069
BNCI2015_001,9,20260725,varmod,0.5317,-0.02,0.5583,0.16
BNCI2015_001,9,20260725,covtoken,0.5283,-0.0192,0.5567,0.1923
BNCI2015_001,9,20260726,varmod,0.5283,0.0,0.525,-0.1509
BNCI2015_001,9,20260726,covtoken,0.51,0.0,0.5067,-0.125
BNCI2015_001,9,20260727,varmod,0.5267,0.0,0.5133,-0.2778
BNCI2015_001,9,20260727,covtoken,0.4983,0.0,0.5017,-0.0563
BNCI2015_001,9,20260728,varmod,0.4967,0.0,0.5717,0.5417
BNCI2015_001,9,20260728,covtoken,0.485,0.0,0.505,0.0759
