dataset,target_subject,token_seed,injtype,excess_var_along_vc,inj_dominance,vc_overlap,arm_overlap,E4bO_netted_rec,harm
BNCI2015_001,4,20260727,varmod,1.15113,0.9782,0.5174,0.6756,0.2162,0.0925
BNCI2015_001,4,20260727,covtoken,5.33037,0.5478,0.6983,0.4764,0.3788,0.165
BNCI2015_001,4,20260728,varmod,5.47258,0.9992,0.5102,0.6955,0.3478,0.1725
BNCI2015_001,4,20260728,covtoken,1.11226,0.4764,0.69,0.4679,0.1944,0.09
BNCI2015_001,5,0,varmod,6.02748,1.1437,0.9959,0.1725,0.0319,0.235
BNCI2015_001,5,0,covtoken,1.73973,1.0325,0.6151,0.116,-0.1186,0.1475
BNCI2015_001,5,20260721,varmod,6.91031,1.1229,0.4986,0.1724,0.0319,0.235
BNCI2015_001,5,20260721,covtoken,1.74043,0.6257,0.6374,0.018,0.0,0.1775
BNCI2015_001,5,20260722,varmod,6.21305,1.141,0.997,0.1708,0.0,0.24
BNCI2015_001,5,20260722,covtoken,1.4843,0.9351,0.4246,0.0876,-0.0125,0.2
BNCI2015_001,5,20260723,varmod,1.41486,1.7319,0.919,0.2485,0.0185,0.135
BNCI2015_001,5,20260723,covtoken,1.40267,0.9584,0.252,0.0863,0.0147,0.17
BNCI2015_001,5,20260724,varmod,6.15122,1.1394,0.9956,0.1735,0.0532,0.235
BNCI2015_001,5,20260724,covtoken,6.79845,0.5664,0.7053,0.0047,0.0115,0.2175
BNCI2015_001,5,20260725,varmod,6.09783,1.1311,0.9962,0.0819,0.0282,0.1775
BNCI2015_001,5,20260725,covtoken,1.52833,1.0101,0.3458,0.272,0.0175,0.1425
BNCI2015_001,5,20260726,varmod,5.31974,1.1505,0.4991,0.0773,0.0333,0.225
BNCI2015_001,5,20260726,covtoken,1.33877,1.0672,0.2565,0.0701,0.0152,0.165
BNCI2015_001,5,20260727,varmod,6.48583,1.1332,0.9967,0.1772,0.0667,0.225
BNCI2015_001,5,20260727,covtoken,1.60527,0.6304,0.6033,0.1802,0.0,0.205
BNCI2015_001,5,20260728,varmod,1.54329,1.5318,0.4672,0.0987,0.0769,0.1625
BNCI2015_001,5,20260728,covtoken,7.40972,0.6259,0.6946,0.0452,0.241,0.2075
BNCI2015_001,6,0,varmod,1.61221,1.1318,0.5034,0.4215,0.1765,0.0425
BNCI2015_001,6,0,covtoken,1.82388,0.5902,0.7009,0.3231,0.3684,0.0475
BNCI2015_001,6,20260721,varmod,1.77648,1.1194,0.5127,0.4342,1.0,0.005
BNCI2015_001,6,20260721,covtoken,1.81184,0.557,0.6989,0.3798,-0.1,0.05
BNCI2015_001,6,20260722,varmod,6.13761,1.0273,0.5003,0.3933,0.0952,0.1575
BNCI2015_001,6,20260722,covtoken,6.89752,0.5407,0.7023,0.3883,0.3111,0.1125
BNCI2015_001,6,20260723,varmod,6.02197,1.0412,0.9993,0.3861,0.3696,0.115
BNCI2015_001,6,20260723,covtoken,6.22127,0.5196,0.7068,0.1757,0.1818,0.0825
BNCI2015_001,6,20260724,varmod,1.59202,1.1029,0.5105,0.4499,0.3333,0.0375
BNCI2015_001,6,20260724,covtoken,1.90617,0.5733,0.6996,0.3521,0.5,0.025
BNCI2015_001,6,20260725,varmod,1.5868,1.1039,0.5063,0.4412,-3.25,0.01
BNCI2015_001,6,20260725,covtoken,1.73347,0.559,0.7016,0.3969,0.0769,0.0325
BNCI2015_001,6,20260726,varmod,5.53236,1.031,0.4999,0.3917,0.3696,0.115
BNCI2015_001,6,20260726,covtoken,1.51392,0.5724,0.7006,0.1985,0.2857,0.0525
BNCI2015_001,6,20260727,varmod,1.81232,1.0961,0.5098,0.433,-0.6667,0.0225
BNCI2015_001,6,20260727,covtoken,6.89161,0.5086,0.7061,0.1666,0.3889,0.09
BNCI2015_001,6,20260728,varmod,6.47104,1.034,0.9995,0.3863,0.25,0.16
BNCI2015_001,6,20260728,covtoken,1.63155,0.5495,0.6992,0.2912,-0.2273,0.055
BNCI2015_001,7,0,varmod,17.80989,1.0609,0.9995,0.0099,-2.0,-0.005
BNCI2015_001,7,0,covtoken,1.97777,0.6367,0.4856,0.301,0.52,-0.0625
BNCI2015_001,7,20260721,varmod,2.32309,1.6088,0.4783,0.1455,0.5769,-0.065
BNCI2015_001,7,20260721,covtoken,2.5046,0.6959,0.6692,0.0673,-0.6,-0.0125
BNCI2015_001,7,20260722,varmod,2.03117,1.6725,0.934,0.0043,0.2857,-0.07
BNCI2015_001,7,20260722,covtoken,2.28465,0.7008,0.6539,0.249,0.85,-0.05
BNCI2015_001,7,20260723,varmod,7.78379,1.1505,0.9968,0.1073,-0.4545,-0.0275
BNCI2015_001,7,20260723,covtoken,1.99295,0.9983,0.3488,0.1222,0.0625,-0.04
BNCI2015_001,7,20260724,varmod,2.29711,1.6433,0.9548,0.1378,0.4,-0.05
BNCI2015_001,7,20260724,covtoken,2.15803,0.6278,0.5528,0.2783,-0.1176,-0.0425
BNCI2015_001,7,20260725,varmod,2.07722,1.6561,0.4716,0.0181,0.5294,-0.0425
BNCI2015_001,7,20260725,covtoken,1.99557,0.6203,0.5266,0.0903,0.3158,-0.0475
BNCI2015_001,7,20260726,varmod,1.84925,1.7997,0.9272,0.0128,0.1765,-0.0425
BNCI2015_001,7,20260726,covtoken,7.97974,0.5905,0.7037,0.0105,0.9333,-0.0375
BNCI2015_001,7,20260727,varmod,8.64148,1.1285,0.9964,0.0043,0.6842,-0.0475
BNCI2015_001,7,20260727,covtoken,2.18424,0.6135,0.519,0.1394,0.2917,-0.06
BNCI2015_001,7,20260728,varmod,2.08047,1.6425,0.4739,0.0068,0.3,-0.025
BNCI2015_001,7,20260728,covtoken,8.89895,0.5399,0.6731,0.214,-3.6667,-0.0075
BNCI2015_001,8,0,varmod,0.90698,1.5533,0.4297,0.3444,-0.0,-0.0217
BNCI2015_001,8,0,covtoken,3.79046,0.5468,0.5596,0.0645,0.7407,-0.045
BNCI2015_001,8,20260721,varmod,4.10068,1.2423,0.9827,0.2034,0.3043,-0.0383
BNCI2015_001,8,20260721,covtoken,4.08756,0.5658,0.6763,0.1472,0.5455,-0.0183
BNCI2015_001,8,20260722,varmod,0.8672,1.6095,0.8545,0.3481,-0.0,-0.0267
BNCI2015_001,8,20260722,covtoken,3.59818,0.5475,0.5688,0.0141,0.7778,-0.06
BNCI2015_001,8,20260723,varmod,3.30021,1.2965,0.4878,0.205,0.5172,-0.0483
BNCI2015_001,8,20260723,covtoken,0.8589,0.6969,0.4595,0.1331,-0.0,-0.01
BNCI2015_001,8,20260724,varmod,0.99829,1.7996,0.8359,0.2578,-0.0588,-0.0283
BNCI2015_001,8,20260724,covtoken,4.09882,0.5742,0.6866,0.0182,0.6,-0.0167
BNCI2015_001,8,20260725,varmod,3.64095,1.2752,0.9787,0.2095,0.5556,-0.015
BNCI2015_001,8,20260725,covtoken,0.92903,1.1013,0.0102,0.1515,-0.2727,-0.0183
BNCI2015_001,8,20260726,varmod,0.73219,1.9122,0.398,0.2632,-0.0,-0.015
BNCI2015_001,8,20260726,covtoken,0.738,0.9863,0.2505,0.3392,1.5,-0.0033
BNCI2015_001,8,20260727,varmod,3.9982,1.2463,0.9811,0.2059,1.1176,-0.0283
BNCI2015_001,8,20260727,covtoken,4.3052,0.6022,0.6917,0.3512,0.7,-0.0167
BNCI2015_001,8,20260728,varmod,3.9587,1.1986,0.9829,0.2933,0.6,-0.0167
BNCI2015_001,8,20260728,covtoken,0.97382,0.615,0.5824,0.1164,0.2381,-0.035
BNCI2015_001,9,0,varmod,10.10225,1.0687,0.5056,0.2573,0.5882,0.085
BNCI2015_001,9,0,covtoken,10.59852,0.5239,0.7012,0.1583,0.38,0.0833
BNCI2015_001,9,20260721,varmod,2.6711,1.2528,0.9826,0.3606,0.4333,0.1
BNCI2015_001,9,20260721,covtoken,10.42991,0.5208,0.7046,0.2992,0.3857,0.1167
BNCI2015_001,9,20260722,varmod,2.34325,1.3222,0.4923,0.3096,0.2037,0.09
BNCI2015_001,9,20260722,covtoken,2.62333,0.5885,0.6728,0.0595,0.2222,0.075
BNCI2015_001,9,20260723,varmod,9.18822,1.0823,0.9986,0.2529,0.2208,0.1283
BNCI2015_001,9,20260723,covtoken,9.71615,0.5368,0.7062,0.0563,0.3699,0.1217
BNCI2015_001,9,20260724,varmod,10.41374,1.0617,0.9989,0.2994,0.2727,0.1283
BNCI2015_001,9,20260724,covtoken,10.53272,0.5258,0.7058,0.1368,0.1724,0.0967
BNCI2015_001,9,20260725,varmod,2.24073,1.3773,0.9721,0.3238,0.08,0.0833
BNCI2015_001,9,20260725,covtoken,2.54643,0.5928,0.6006,0.3874,0.2692,0.0867
BNCI2015_001,9,20260726,varmod,9.18652,1.0763,0.5047,0.2564,0.1698,0.0883
BNCI2015_001,9,20260726,covtoken,9.24119,0.5219,0.6722,0.1415,0.1875,0.1067
BNCI2015_001,9,20260727,varmod,10.19412,1.0737,0.9989,0.2458,0.0,0.09
BNCI2015_001,9,20260727,covtoken,10.21816,0.5197,0.7008,0.2673,0.3099,0.1183
BNCI2015_001,9,20260728,varmod,2.53325,1.3041,0.4948,0.2997,0.2222,0.12
BNCI2015_001,9,20260728,covtoken,10.30162,0.518,0.5664,0.0522,0.0759,0.1317
