dataset,target_subject,token_seed,gamma,l4_conflict_target,l5_conflict_src_heldout
BNCI2015_001,1,20260728,0.2,0.0893,-0.0237
BNCI2015_001,1,20260728,0.4,0.0831,-0.0731
BNCI2015_001,2,20260728,0.0,0.1127,0.1193
BNCI2015_001,2,20260728,0.2,0.0962,0.0914
BNCI2015_001,2,20260728,0.4,0.1091,0.1357
BNCI2015_001,3,20260728,0.0,0.1825,0.0963
BNCI2015_001,3,20260728,0.2,0.1223,0.0825
BNCI2015_001,3,20260728,0.4,0.0717,0.0712
BNCI2015_001,4,20260728,0.0,0.1283,0.1093
BNCI2015_001,4,20260728,0.2,0.0516,0.135
BNCI2015_001,4,20260728,0.4,0.0516,0.2007
BNCI2015_001,5,20260728,0.0,0.1443,-0.0171
BNCI2015_001,5,20260728,0.2,0.0466,0.0036
BNCI2015_001,5,20260728,0.4,0.0526,-0.0364
BNCI2015_001,6,20260728,0.0,0.0503,-0.01
BNCI2015_001,6,20260728,0.2,0.0386,-0.0157
BNCI2015_001,6,20260728,0.4,0.0313,-0.0229
BNCI2015_001,7,20260728,0.0,0.1479,-0.0183
BNCI2015_001,7,20260728,0.2,0.0455,-0.0992
BNCI2015_001,7,20260728,0.4,0.0167,-0.0425
BNCI2015_001,8,20260728,0.0,0.0781,0.1342
BNCI2015_001,8,20260728,0.2,0.0277,0.0717
BNCI2015_001,8,20260728,0.4,0.0288,-0.0142
BNCI2015_001,9,20260728,0.0,0.1077,0.0064
BNCI2015_001,9,20260728,0.2,0.049,0.0129
BNCI2015_001,9,20260728,0.4,0.0687,0.0736
