dataset,target_subject,token_seed,gamma,H0_tgt,Hconflict_tgt,Hshuffle_tgt,target_harm
BNCI2015_001,6,20260726,0.4,0.64,0.58,0.655,0.06
BNCI2015_001,7,20260726,0.0,0.545,0.545,0.545,0.0
BNCI2015_001,7,20260726,0.2,0.545,0.515,0.545,0.03
BNCI2015_001,7,20260726,0.4,0.545,0.41,0.4425,0.135
BNCI2015_001,8,20260726,0.0,0.5467,0.5467,0.5467,0.0
BNCI2015_001,8,20260726,0.2,0.5467,0.5333,0.5783,0.0133
BNCI2015_001,8,20260726,0.4,0.5467,0.475,0.5217,0.0717
BNCI2015_001,9,20260726,0.0,0.635,0.635,0.635,0.0
BNCI2015_001,9,20260726,0.2,0.635,0.5767,0.6183,0.0583
BNCI2015_001,9,20260726,0.4,0.635,0.5683,0.4617,0.0667
BNCI2014_001,1,20260727,0.0,0.4809,0.4809,0.4809,0.0
BNCI2014_001,1,20260727,0.2,0.4809,0.4358,0.4497,0.0451
BNCI2014_001,1,20260727,0.4,0.4809,0.3507,0.4479,0.1302
BNCI2014_001,2,20260727,0.0,0.2569,0.2569,0.2569,0.0
BNCI2014_001,2,20260727,0.2,0.2569,0.2622,0.2465,-0.0052
BNCI2014_001,2,20260727,0.4,0.2569,0.283,0.2674,-0.026
BNCI2014_001,3,20260727,0.0,0.5694,0.5694,0.5694,0.0
BNCI2014_001,3,20260727,0.2,0.5694,0.4826,0.4826,0.0868
BNCI2014_001,3,20260727,0.4,0.5694,0.4427,0.3646,0.1267
BNCI2014_001,4,20260727,0.0,0.342,0.342,0.342,0.0
BNCI2014_001,4,20260727,0.2,0.342,0.2865,0.3108,0.0556
BNCI2014_001,4,20260727,0.4,0.342,0.2708,0.3177,0.0712
BNCI2014_001,5,20260727,0.0,0.276,0.276,0.276,0.0
BNCI2014_001,5,20260727,0.2,0.276,0.25,0.2587,0.026
BNCI2014_001,5,20260727,0.4,0.276,0.2587,0.2569,0.0174
BNCI2014_001,6,20260727,0.0,0.2899,0.2899,0.2899,0.0
BNCI2014_001,6,20260727,0.2,0.2899,0.2465,0.2656,0.0434
BNCI2014_001,6,20260727,0.4,0.2899,0.2344,0.2795,0.0556
BNCI2014_001,7,20260727,0.0,0.2812,0.2812,0.2812,0.0
BNCI2014_001,7,20260727,0.2,0.2812,0.2882,0.3212,-0.0069
BNCI2014_001,7,20260727,0.4,0.2812,0.3281,0.2483,-0.0469
BNCI2014_001,8,20260727,0.0,0.5451,0.5451,0.5451,0.0
BNCI2014_001,8,20260727,0.2,0.5451,0.4965,0.4983,0.0486
BNCI2014_001,8,20260727,0.4,0.5451,0.4427,0.4375,0.1024
BNCI2014_001,9,20260727,0.0,0.4392,0.4392,0.4392,0.0
BNCI2014_001,9,20260727,0.2,0.4392,0.4531,0.4219,-0.0139
BNCI2014_001,9,20260727,0.4,0.4392,0.3802,0.3455,0.059
BNCI2015_001,10,20260727,0.0,0.6,0.6,0.6,0.0
BNCI2015_001,10,20260727,0.2,0.6,0.6417,0.625,-0.0417
BNCI2015_001,10,20260727,0.4,0.6,0.58,0.5233,0.02
BNCI2015_001,11,20260727,0.0,0.5233,0.5233,0.5233,0.0
BNCI2015_001,11,20260727,0.2,0.5233,0.5033,0.5233,0.02
BNCI2015_001,11,20260727,0.4,0.5233,0.48,0.5467,0.0433
BNCI2015_001,12,20260727,0.0,0.535,0.535,0.535,0.0
BNCI2015_001,12,20260727,0.2,0.535,0.5275,0.5025,0.0075
BNCI2015_001,12,20260727,0.4,0.535,0.4825,0.4925,0.0525
BNCI2015_001,1,20260727,0.0,0.6325,0.6325,0.6325,0.0
BNCI2015_001,1,20260727,0.2,0.6325,0.73,0.7275,-0.0975
BNCI2015_001,1,20260727,0.4,0.6325,0.685,0.6825,-0.0525
BNCI2015_001,2,20260727,0.0,0.785,0.785,0.785,0.0
BNCI2015_001,2,20260727,0.2,0.785,0.7125,0.8125,0.0725
BNCI2015_001,2,20260727,0.4,0.785,0.6625,0.66,0.1225
BNCI2015_001,3,20260727,0.0,0.5175,0.5175,0.5175,0.0
BNCI2015_001,3,20260727,0.2,0.5175,0.5225,0.51,-0.005
BNCI2015_001,3,20260727,0.4,0.5175,0.5375,0.555,-0.02
BNCI2015_001,4,20260727,0.0,0.7925,0.7925,0.7925,0.0
BNCI2015_001,4,20260727,0.2,0.7925,0.7275,0.6625,0.065
BNCI2015_001,4,20260727,0.4,0.7925,0.59,0.535,0.2025
BNCI2015_001,5,20260727,0.0,0.75,0.75,0.75,0.0
BNCI2015_001,5,20260727,0.2,0.75,0.735,0.7725,0.015
BNCI2015_001,5,20260727,0.4,0.75,0.645,0.5375,0.105
BNCI2015_001,6,20260727,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,6,20260727,0.2,0.64,0.6275,0.6275,0.0125
BNCI2015_001,6,20260727,0.4,0.64,0.58,0.5575,0.06
BNCI2015_001,7,20260727,0.0,0.5425,0.5425,0.5425,0.0
BNCI2015_001,7,20260727,0.2,0.5425,0.52,0.55,0.0225
BNCI2015_001,7,20260727,0.4,0.5425,0.4675,0.6175,0.075
BNCI2015_001,8,20260727,0.0,0.5617,0.5617,0.5617,0.0
BNCI2015_001,8,20260727,0.2,0.5617,0.5217,0.5317,0.04
BNCI2015_001,8,20260727,0.4,0.5617,0.465,0.5083,0.0967
BNCI2015_001,9,20260727,0.0,0.6333,0.6333,0.6333,0.0
BNCI2015_001,9,20260727,0.2,0.6333,0.6483,0.6367,-0.015
BNCI2015_001,9,20260727,0.4,0.6333,0.545,0.53,0.0883
BNCI2014_001,1,20260728,0.0,0.4826,0.4826,0.4826,0.0
BNCI2014_001,1,20260728,0.2,0.4826,0.4444,0.441,0.0382
BNCI2014_001,1,20260728,0.4,0.4826,0.3872,0.526,0.0955
BNCI2014_001,2,20260728,0.0,0.25,0.25,0.25,0.0
BNCI2014_001,2,20260728,0.2,0.25,0.2726,0.2552,-0.0226
BNCI2014_001,2,20260728,0.4,0.25,0.2604,0.2656,-0.0104
BNCI2014_001,3,20260728,0.0,0.5625,0.5625,0.5625,0.0
BNCI2014_001,3,20260728,0.2,0.5625,0.5017,0.4688,0.0608
BNCI2014_001,3,20260728,0.4,0.5625,0.434,0.434,0.1285
BNCI2014_001,4,20260728,0.0,0.342,0.342,0.342,0.0
BNCI2014_001,4,20260728,0.2,0.342,0.3264,0.3229,0.0156
BNCI2014_001,4,20260728,0.4,0.342,0.2691,0.3177,0.0729
BNCI2014_001,5,20260728,0.0,0.2743,0.2743,0.2743,0.0
BNCI2014_001,5,20260728,0.2,0.2743,0.2656,0.2587,0.0087
BNCI2014_001,5,20260728,0.4,0.2743,0.2622,0.2622,0.0122
BNCI2014_001,6,20260728,0.0,0.2917,0.2917,0.2917,0.0
BNCI2014_001,6,20260728,0.2,0.2917,0.276,0.2917,0.0156
BNCI2014_001,6,20260728,0.4,0.2917,0.2726,0.3073,0.0191
BNCI2014_001,7,20260728,0.0,0.2847,0.2847,0.2847,0.0
BNCI2014_001,7,20260728,0.2,0.2847,0.3177,0.2674,-0.033
BNCI2014_001,7,20260728,0.4,0.2847,0.2812,0.2656,0.0035
BNCI2014_001,8,20260728,0.0,0.5503,0.5503,0.5503,0.0
BNCI2014_001,8,20260728,0.2,0.5503,0.5017,0.5156,0.0486
BNCI2014_001,8,20260728,0.4,0.5503,0.4132,0.3958,0.1372
BNCI2014_001,9,20260728,0.0,0.4444,0.4444,0.4444,0.0
BNCI2014_001,9,20260728,0.2,0.4444,0.4201,0.401,0.0243
BNCI2014_001,9,20260728,0.4,0.4444,0.3906,0.283,0.0538
BNCI2015_001,10,20260728,0.0,0.5967,0.5967,0.5967,0.0
BNCI2015_001,10,20260728,0.2,0.5967,0.6383,0.58,-0.0417
BNCI2015_001,10,20260728,0.4,0.5967,0.6067,0.5433,-0.01
BNCI2015_001,11,20260728,0.0,0.5233,0.5233,0.5233,0.0
BNCI2015_001,11,20260728,0.2,0.5233,0.5083,0.495,0.015
BNCI2015_001,11,20260728,0.4,0.5233,0.485,0.5567,0.0383
BNCI2015_001,12,20260728,0.0,0.525,0.525,0.525,0.0
BNCI2015_001,12,20260728,0.2,0.525,0.53,0.5575,-0.005
BNCI2015_001,12,20260728,0.4,0.525,0.4875,0.5675,0.0375
BNCI2015_001,1,20260728,0.0,0.645,0.645,0.645,0.0
BNCI2015_001,1,20260728,0.2,0.645,0.745,0.6125,-0.1
BNCI2015_001,1,20260728,0.4,0.645,0.7275,0.285,-0.0825
BNCI2015_001,2,20260728,0.0,0.7875,0.7875,0.7875,0.0
BNCI2015_001,2,20260728,0.2,0.7875,0.7025,0.6525,0.085
BNCI2015_001,2,20260728,0.4,0.7875,0.62,0.5475,0.1675
BNCI2015_001,3,20260728,0.0,0.515,0.515,0.515,0.0
BNCI2015_001,3,20260728,0.2,0.515,0.505,0.51,0.01
BNCI2015_001,3,20260728,0.4,0.515,0.5575,0.565,-0.0425
BNCI2015_001,4,20260728,0.0,0.7975,0.7975,0.7975,0.0
BNCI2015_001,4,20260728,0.2,0.7975,0.7375,0.765,0.06
BNCI2015_001,4,20260728,0.4,0.7975,0.575,0.5375,0.2225
BNCI2015_001,5,20260728,0.0,0.745,0.745,0.745,0.0
BNCI2015_001,5,20260728,0.2,0.745,0.7275,0.74,0.0175
BNCI2015_001,5,20260728,0.4,0.745,0.6025,0.515,0.1425
BNCI2015_001,6,20260728,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,6,20260728,0.2,0.64,0.6275,0.6425,0.0125
BNCI2015_001,6,20260728,0.4,0.64,0.59,0.57,0.05
BNCI2015_001,7,20260728,0.0,0.5425,0.5425,0.5425,0.0
BNCI2015_001,7,20260728,0.2,0.5425,0.5325,0.52,0.01
BNCI2015_001,7,20260728,0.4,0.5425,0.465,0.6425,0.0775
BNCI2015_001,8,20260728,0.0,0.5617,0.5617,0.5617,0.0
BNCI2015_001,8,20260728,0.2,0.5617,0.5283,0.5633,0.0333
BNCI2015_001,8,20260728,0.4,0.5617,0.4583,0.5867,0.1033
BNCI2015_001,9,20260728,0.0,0.6317,0.6317,0.6317,0.0
BNCI2015_001,9,20260728,0.2,0.6317,0.6517,0.59,-0.02
BNCI2015_001,9,20260728,0.4,0.6317,0.59,0.45,0.0417
