dataset,target_subject,token_seed,gamma,global_Py_delta,achieved_conflict_frac,conflict_fit,conflict_fit_floor,conflict_fit_minus_floor,l5_conflict_train,l5_random_train,l5_shuffle_train_mean,l5_shuffle_train_max,heldin_task_drop_train
BNCI2015_001,10,20260724,0.0,0,0.0,nan,nan,nan,0.0697,0.0697,0.0697,0.0697,0.0
BNCI2015_001,10,20260724,0.2,0,0.1556,0.4536,0.3625,0.0911,0.0608,0.0647,0.0514,0.0664,0.0247
BNCI2015_001,10,20260724,0.4,0,0.3111,0.6857,0.3643,0.3214,0.0911,0.0561,0.0147,0.0894,0.0892
BNCI2015_001,11,20260724,0.0,0,0.0,nan,nan,nan,0.01,0.01,0.01,0.01,0.0
BNCI2015_001,11,20260724,0.2,0,0.1474,0.2643,0.0911,0.1732,0.0055,0.0074,0.0172,0.0508,0.0532
BNCI2015_001,11,20260724,0.4,0,0.2947,0.5563,0.0964,0.4598,-0.0358,0.0053,-0.0142,0.0132,0.1876
BNCI2015_001,12,20260724,0.0,0,0.0,nan,nan,nan,0.0108,0.0108,0.0108,0.0108,0.0
BNCI2015_001,12,20260724,0.2,0,0.1556,0.3464,0.1839,0.1625,0.0517,0.0136,0.0486,0.0956,0.0386
BNCI2015_001,12,20260724,0.4,0,0.3111,0.642,0.2062,0.4357,0.1233,0.02,0.066,0.1419,0.1697
BNCI2015_001,1,20260724,0.0,0,0.0,nan,nan,nan,0.0526,0.0526,0.0526,0.0526,0.0
BNCI2015_001,1,20260724,0.2,0,0.1053,0.7325,0.4825,0.25,0.0705,0.0508,0.0177,0.0476,0.0255
BNCI2015_001,1,20260724,0.4,0,0.2105,0.82,0.4562,0.3637,0.0647,0.0468,0.0204,0.0634,0.0605
BNCI2015_001,2,20260724,0.0,0,0.0,nan,nan,nan,0.1897,0.1897,0.1897,0.1897,0.0
BNCI2015_001,2,20260724,0.2,0,0.1333,0.5229,0.4,0.1229,0.1786,0.165,0.1269,0.1711,0.0142
BNCI2015_001,2,20260724,0.4,0,0.2667,0.6094,0.4385,0.1708,0.155,0.1533,-0.0258,0.0872,0.0408
BNCI2015_001,3,20260724,0.0,0,0.0,nan,nan,nan,0.0541,0.0541,0.0541,0.0541,0.0
BNCI2015_001,3,20260724,0.2,0,0.1882,0.4047,0.2687,0.1359,0.0724,0.0353,0.0613,0.0988,0.0318
BNCI2015_001,3,20260724,0.4,0,0.3765,0.6633,0.2727,0.3906,0.1309,0.0356,0.0175,0.1247,0.1621
BNCI2015_001,4,20260724,0.0,0,0.0,nan,nan,nan,0.0947,0.0947,0.0947,0.0947,0.0
BNCI2015_001,4,20260724,0.2,0,0.1474,0.5857,0.3339,0.2518,0.0629,0.0653,0.0812,0.1447,0.0311
BNCI2015_001,4,20260724,0.4,0,0.2947,0.692,0.3277,0.3643,0.0242,0.0939,0.0303,0.1326,0.0763
BNCI2015_001,5,20260724,0.0,0,0.0,nan,nan,nan,0.0389,0.0389,0.0389,0.0389,0.0
BNCI2015_001,5,20260724,0.2,0,0.1684,0.5297,0.2828,0.2469,0.025,0.0408,0.0537,0.0858,0.0413
BNCI2015_001,5,20260724,0.4,0,0.3368,0.675,0.2437,0.4313,0.0189,0.0574,0.0462,0.1239,0.1403
BNCI2015_001,6,20260724,0.0,0,0.0,nan,nan,nan,0.0426,0.0426,0.0426,0.0426,0.0
BNCI2015_001,6,20260724,0.2,0,0.1053,0.345,0.25,0.095,0.0555,0.0239,0.0261,0.0408,0.0095
BNCI2015_001,6,20260724,0.4,0,0.2105,0.7037,0.1775,0.5262,0.0024,0.0111,0.0202,0.0545,0.1095
BNCI2015_001,7,20260724,0.0,0,0.0,nan,nan,nan,0.0356,0.0356,0.0356,0.0356,0.0
BNCI2015_001,7,20260724,0.2,0,0.1882,0.3672,0.2188,0.1484,0.0441,0.0185,0.0286,0.1156,0.04
BNCI2015_001,7,20260724,0.4,0,0.3765,0.7008,0.2328,0.468,0.03,0.0176,-0.0176,0.1129,0.1853
BNCI2015_001,8,20260724,0.0,0,0.0,nan,nan,nan,0.0868,0.0868,0.0868,0.0868,0.0
BNCI2015_001,8,20260724,0.2,0,0.1895,0.5292,0.2611,0.2681,0.0224,0.0953,0.0823,0.1368,0.0392
BNCI2015_001,8,20260724,0.4,0,0.3789,0.7903,0.2625,0.5278,-0.0347,0.0705,0.0379,0.1195,0.1626
BNCI2015_001,9,20260724,0.0,0,0.0,nan,nan,nan,0.0282,0.0282,0.0282,0.0282,0.0
BNCI2015_001,9,20260724,0.2,0,0.1412,0.3729,0.2458,0.1271,0.0435,0.0347,0.0312,0.0729,0.0226
BNCI2015_001,9,20260724,0.4,0,0.2824,0.6521,0.2313,0.4208,0.0644,0.0297,0.0179,0.0706,0.1385
BNCI2014_001,1,20260725,0.0,0,0.0,nan,nan,nan,0.0104,0.0104,0.0104,0.0104,0.0
BNCI2014_001,1,20260725,0.2,0,0.1997,0.5116,0.0812,0.4304,0.0104,0.0067,-0.0104,0.0122,0.1372
BNCI2014_001,1,20260725,0.4,0,0.3495,0.6647,0.0795,0.5853,-0.0217,0.0098,-0.0372,-0.015,0.237
BNCI2014_001,2,20260725,0.0,0,0.0,nan,nan,nan,0.0049,0.0049,0.0049,0.0049,0.0
BNCI2014_001,2,20260725,0.2,0,0.1997,0.4449,0.1623,0.2826,0.0226,0.0043,0.0047,0.0234,0.0796
BNCI2014_001,2,20260725,0.4,0,0.3495,0.6002,0.1407,0.4594,0.0223,0.0078,0.0103,0.0234,0.1852
BNCI2014_001,3,20260725,0.0,0,0.0,nan,nan,nan,0.0023,0.0023,0.0023,0.0023,0.0
BNCI2014_001,3,20260725,0.2,0,0.1997,0.5986,0.2232,0.3754,0.0156,-0.0009,0.012,0.0191,0.053
BNCI2014_001,3,20260725,0.4,0,0.3495,0.7442,0.2392,0.505,-0.0492,0.0029,-0.0094,0.0107,0.1276
BNCI2014_001,4,20260725,0.0,0,0.0,nan,nan,nan,0.0052,0.0052,0.0052,0.0052,0.0
BNCI2014_001,4,20260725,0.2,0,0.1997,0.5029,0.0435,0.4594,-0.042,0.0038,-0.012,-0.0012,0.1224
BNCI2014_001,4,20260725,0.4,0,0.3657,0.6922,0.072,0.6203,-0.0272,0.0075,-0.0228,-0.0052,0.2416
BNCI2014_001,5,20260725,0.0,0,0.0,nan,nan,nan,0.0075,0.0075,0.0075,0.0075,0.0
BNCI2014_001,5,20260725,0.2,0,0.1997,0.5,0.2116,0.2884,0.0177,0.0081,0.0163,0.0327,0.0619
BNCI2014_001,5,20260725,0.4,0,0.3495,0.6581,0.1821,0.476,-0.0009,0.0067,0.0005,0.0246,0.1305
BNCI2014_001,6,20260725,0.0,0,0.0,nan,nan,nan,0.0014,0.0014,0.0014,0.0014,0.0
BNCI2014_001,6,20260725,0.2,0,0.1997,0.5855,0.1768,0.4087,-0.0041,0.0061,0.0076,0.0139,0.0819
BNCI2014_001,6,20260725,0.4,0,0.3657,0.7073,0.1685,0.5388,-0.0231,0.0087,-0.0075,0.0145,0.162
BNCI2014_001,7,20260725,0.0,0,0.0,nan,nan,nan,0.0032,0.0032,0.0032,0.0032,0.0
BNCI2014_001,7,20260725,0.2,0,0.1997,0.5319,0.0812,0.4507,-0.0006,0.0043,-0.0117,0.0382,0.1215
BNCI2014_001,7,20260725,0.4,0,0.3993,0.7587,0.1014,0.6572,0.0145,0.0003,-0.0415,-0.0162,0.2584
BNCI2014_001,8,20260725,0.0,0,0.0,nan,nan,nan,0.0142,0.0142,0.0142,0.0142,0.0
BNCI2014_001,8,20260725,0.2,0,0.1997,0.4986,0.0957,0.4029,-0.0038,0.0058,0.0225,0.046,0.1004
BNCI2014_001,8,20260725,0.4,0,0.3495,0.6366,0.1267,0.5099,0.0046,0.0058,0.0067,0.042,0.1635
BNCI2014_001,9,20260725,0.0,0,0.0,nan,nan,nan,0.0058,0.0058,0.0058,0.0058,0.0
BNCI2014_001,9,20260725,0.2,0,0.1997,0.587,0.1971,0.3899,0.0226,0.0072,-0.0039,0.0055,0.0732
BNCI2014_001,9,20260725,0.4,0,0.3993,0.6804,0.1703,0.5101,0.0344,0.0032,0.0184,0.0631,0.162
BNCI2015_001,10,20260725,0.0,0,0.0,nan,nan,nan,0.0533,0.0533,0.0533,0.0533,0.0
BNCI2015_001,10,20260725,0.2,0,0.2,0.4903,0.2944,0.1958,0.0492,0.0322,0.0458,0.1019,0.0461
BNCI2015_001,10,20260725,0.4,0,0.4,0.6826,0.3097,0.3729,0.1256,0.0311,0.0242,0.0731,0.1439
BNCI2015_001,11,20260725,0.0,0,0.0,nan,nan,nan,0.0453,0.0453,0.0453,0.0453,0.0
BNCI2015_001,11,20260725,0.2,0,0.1556,0.3625,0.125,0.2375,0.0175,0.0317,0.0402,0.0794,0.0617
BNCI2015_001,11,20260725,0.4,0,0.3111,0.6464,0.1911,0.4554,0.0375,0.0319,0.0209,0.0469,0.1822
BNCI2015_001,12,20260725,0.0,0,0.0,nan,nan,nan,0.0212,0.0212,0.0212,0.0212,0.0
BNCI2015_001,12,20260725,0.2,0,0.1412,0.2938,0.1979,0.0958,0.0209,0.015,0.0596,0.1147,0.0162
BNCI2015_001,12,20260725,0.4,0,0.2824,0.5042,0.2021,0.3021,0.0424,0.0218,0.0616,0.1574,0.1088
BNCI2015_001,1,20260725,0.0,0,0.0,nan,nan,nan,0.0658,0.0658,0.0658,0.0658,0.0
BNCI2015_001,1,20260725,0.2,0,0.1474,0.7036,0.3446,0.3589,0.0271,0.0447,0.0296,0.0918,0.0563
BNCI2015_001,1,20260725,0.4,0,0.2947,0.7821,0.3804,0.4018,0.0203,0.0461,0.011,0.0584,0.1124
BNCI2015_001,2,20260725,0.0,0,0.0,nan,nan,nan,0.1813,0.1813,0.1813,0.1813,0.0
BNCI2015_001,2,20260725,0.2,0,0.1895,0.5444,0.3667,0.1778,0.1379,0.1637,0.0857,0.1345,0.0347
BNCI2015_001,2,20260725,0.4,0,0.3789,0.6958,0.3736,0.3222,0.1042,0.14,0.0437,0.0926,0.1063
BNCI2015_001,3,20260725,0.0,0,0.0,nan,nan,nan,0.1505,0.1505,0.1505,0.1505,0.0
BNCI2015_001,3,20260725,0.2,0,0.16,0.6094,0.2719,0.3375,0.099,0.149,0.118,0.1763,0.0607
BNCI2015_001,3,20260725,0.4,0,0.32,0.7961,0.2836,0.5125,0.0807,0.1003,0.0207,0.1208,0.1462
BNCI2015_001,4,20260725,0.0,0,0.0,nan,nan,nan,0.0975,0.0975,0.0975,0.0975,0.0
BNCI2015_001,4,20260725,0.2,0,0.16,0.5469,0.3109,0.2359,0.0785,0.07,0.0948,0.1265,0.0355
BNCI2015_001,4,20260725,0.4,0,0.32,0.7562,0.257,0.4992,0.0525,0.0815,-0.021,0.0507,0.1372
BNCI2015_001,5,20260725,0.0,0,0.0,nan,nan,nan,0.043,0.043,0.043,0.043,0.0
BNCI2015_001,5,20260725,0.2,0,0.16,0.4688,0.2578,0.2109,0.0222,0.0367,0.05,0.0952,0.0335
BNCI2015_001,5,20260725,0.4,0,0.32,0.7023,0.2375,0.4648,-0.011,0.0172,0.0327,0.087,0.139
BNCI2015_001,6,20260725,0.0,0,0.0,nan,nan,nan,0.0139,0.0139,0.0139,0.0139,0.0
BNCI2015_001,6,20260725,0.2,0,0.1895,0.4292,0.2139,0.2153,-0.0024,0.0066,-0.0128,-0.0024,0.0555
BNCI2015_001,6,20260725,0.4,0,0.3789,0.7326,0.2097,0.5229,0.0,0.0092,-0.015,-0.0079,0.1971
BNCI2015_001,7,20260725,0.0,0,0.0,nan,nan,nan,0.0426,0.0426,0.0426,0.0426,0.0
BNCI2015_001,7,20260725,0.2,0,0.1474,0.4089,0.1732,0.2357,0.01,0.0321,0.0281,0.0789,0.0445
BNCI2015_001,7,20260725,0.4,0,0.2947,0.7107,0.2125,0.4982,-0.0042,0.0229,0.0058,0.0647,0.1361
BNCI2015_001,8,20260725,0.0,0,0.0,nan,nan,nan,0.1136,0.1136,0.1136,0.1136,0.0
BNCI2015_001,8,20260725,0.2,0,0.2,0.4431,0.2375,0.2056,0.06,0.0689,0.1256,0.1686,0.0397
BNCI2015_001,8,20260725,0.4,0,0.4,0.7451,0.2194,0.5257,-0.0111,0.0883,0.1052,0.1878,0.2025
BNCI2015_001,9,20260725,0.0,0,0.0,nan,nan,nan,0.0211,0.0211,0.0211,0.0211,0.0
BNCI2015_001,9,20260725,0.2,0,0.2,0.4694,0.2014,0.2681,0.0025,0.0272,-0.0001,0.0139,0.0589
BNCI2015_001,9,20260725,0.4,0,0.4,0.7562,0.2097,0.5465,-0.0242,0.0206,0.0196,0.0381,0.215
BNCI2014_001,1,20260726,0.0,0,0.0,nan,nan,nan,0.0081,0.0081,0.0081,0.0081,0.0
BNCI2014_001,1,20260726,0.2,0,0.1997,0.4928,0.1174,0.3754,0.0081,0.0098,-0.0157,-0.0075,0.1024
BNCI2014_001,1,20260726,0.4,0,0.3657,0.6653,0.1005,0.5649,-0.0177,0.0038,-0.0304,-0.0194,0.2488
BNCI2014_001,2,20260726,0.0,0,0.0,nan,nan,nan,0.0104,0.0104,0.0104,0.0104,0.0
BNCI2014_001,2,20260726,0.2,0,0.1997,0.4087,0.1101,0.2986,0.0162,-0.0003,0.0047,0.0177,0.1001
BNCI2014_001,2,20260726,0.4,0,0.3993,0.6435,0.129,0.5145,0.053,0.0038,0.0086,0.0422,0.2364
BNCI2014_001,3,20260726,0.0,0,0.0,nan,nan,nan,0.009,0.009,0.009,0.009,0.0
BNCI2014_001,3,20260726,0.2,0,0.1331,0.5261,0.1935,0.3326,0.0046,0.0119,0.0267,0.044,0.0431
BNCI2014_001,3,20260726,0.4,0,0.3993,0.6254,0.1877,0.4377,-0.0388,0.0116,0.0043,0.0567,0.149
BNCI2014_001,4,20260726,0.0,0,0.0,nan,nan,nan,0.0064,0.0064,0.0064,0.0064,0.0
BNCI2014_001,4,20260726,0.2,0,0.1997,0.4362,0.087,0.3493,0.0017,0.0006,0.0115,0.0402,0.0903
BNCI2014_001,4,20260726,0.4,0,0.3495,0.6258,0.0902,0.5356,-0.0182,0.0017,-0.0224,-0.0116,0.2043
BNCI2014_001,5,20260726,0.0,0,0.0,nan,nan,nan,0.0035,0.0035,0.0035,0.0035,0.0
BNCI2014_001,5,20260726,0.2,0,0.1997,0.4899,0.1435,0.3464,-0.0301,0.0055,0.0197,0.0373,0.0911
BNCI2014_001,5,20260726,0.4,0,0.3495,0.6209,0.2301,0.3907,-0.0035,0.0043,-0.0003,0.0295,0.1293
BNCI2014_001,6,20260726,0.0,0,0.0,nan,nan,nan,-0.0038,-0.0038,-0.0038,-0.0038,0.0
BNCI2014_001,6,20260726,0.2,0,0.1997,0.6116,0.1275,0.4841,-0.0185,-0.0009,-0.0053,0.0122,0.0955
BNCI2014_001,6,20260726,0.4,0,0.3495,0.7583,0.1507,0.6076,-0.0145,-0.0006,-0.0176,0.0177,0.1782
BNCI2014_001,7,20260726,0.0,0,0.0,nan,nan,nan,0.0026,0.0026,0.0026,0.0026,0.0
BNCI2014_001,7,20260726,0.2,0,0.1997,0.4957,0.0855,0.4101,-0.0344,0.0055,-0.02,-0.0055,0.125
BNCI2014_001,7,20260726,0.4,0,0.3495,0.7434,0.101,0.6424,0.0012,-0.0006,-0.026,0.022,0.2289
BNCI2014_001,8,20260726,0.0,0,0.0,nan,nan,nan,0.0012,0.0012,0.0012,0.0012,0.0
BNCI2014_001,8,20260726,0.2,0,0.1331,0.45,0.1652,0.2848,0.0203,0.0038,-0.004,0.0156,0.0373
BNCI2014_001,8,20260726,0.4,0,0.3495,0.6581,0.1184,0.5397,-0.0081,0.0078,-0.0218,0.0029,0.1808
BNCI2014_001,9,20260726,0.0,0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
BNCI2014_001,9,20260726,0.2,0,0.1997,0.5087,0.0855,0.4232,-0.0286,0.0006,-0.0041,0.0177,0.1016
BNCI2014_001,9,20260726,0.4,0,0.3495,0.7136,0.1051,0.6084,0.0041,0.0003,-0.0036,0.026,0.2017
BNCI2015_001,10,20260726,0.0,0,0.0,nan,nan,nan,0.0495,0.0495,0.0495,0.0495,0.0
BNCI2015_001,10,20260726,0.2,0,0.1684,0.6328,0.3859,0.2469,0.02,0.0395,0.0397,0.0942,0.0332
BNCI2015_001,10,20260726,0.4,0,0.3368,0.6914,0.4094,0.282,0.1068,0.0411,0.0364,0.0771,0.0703
BNCI2015_001,11,20260726,0.0,0,0.0,nan,nan,nan,0.0153,0.0153,0.0153,0.0153,0.0
BNCI2015_001,11,20260726,0.2,0,0.1647,0.3518,0.1768,0.175,0.0018,0.0147,0.0194,0.0418,0.045
BNCI2015_001,11,20260726,0.4,0,0.3294,0.6116,0.1911,0.4205,-0.0032,0.0197,0.0142,0.0497,0.1621
BNCI2015_001,12,20260726,0.0,0,0.0,nan,nan,nan,0.0166,0.0166,0.0166,0.0166,0.0
BNCI2015_001,12,20260726,0.2,0,0.1474,0.3518,0.1321,0.2196,-0.0105,0.0174,0.0132,0.0271,0.0503
BNCI2015_001,12,20260726,0.4,0,0.2947,0.6384,0.1313,0.5071,-0.0376,0.0118,0.0203,0.0918,0.1758
BNCI2015_001,1,20260726,0.0,0,0.0,nan,nan,nan,0.0282,0.0282,0.0282,0.0282,0.0
BNCI2015_001,1,20260726,0.2,0,0.1895,0.5847,0.3042,0.2806,-0.0068,0.0534,0.0495,0.1126,0.0592
BNCI2015_001,1,20260726,0.4,0,0.3789,0.8424,0.3,0.5424,-0.0724,0.0147,0.0336,0.0708,0.1755
BNCI2015_001,2,20260726,0.0,0,0.0,nan,nan,nan,0.1947,0.1947,0.1947,0.1947,0.0
BNCI2015_001,2,20260726,0.2,0,0.1895,0.4875,0.2972,0.1903,0.0739,0.1729,0.1137,0.1737,0.0316
BNCI2015_001,2,20260726,0.4,0,0.3789,0.684,0.3,0.384,0.0458,0.0845,0.0022,0.0647,0.1216
BNCI2015_001,3,20260726,0.0,0,0.0,nan,nan,nan,0.0692,0.0692,0.0692,0.0692,0.0
BNCI2015_001,3,20260726,0.2,0,0.1556,0.4821,0.2786,0.2036,0.0942,0.0406,0.0467,0.0589,0.0328
BNCI2015_001,3,20260726,0.4,0,0.3111,0.7277,0.2509,0.4768,0.0656,0.0339,0.0379,0.0783,0.1347
BNCI2015_001,4,20260726,0.0,0,0.0,nan,nan,nan,0.0356,0.0356,0.0356,0.0356,0.0
BNCI2015_001,4,20260726,0.2,0,0.2,0.4944,0.2847,0.2097,0.0347,0.0414,0.0542,0.0997,0.025
BNCI2015_001,4,20260726,0.4,0,0.4,0.7347,0.2799,0.4549,-0.0467,0.0908,0.0948,0.1594,0.1506
BNCI2015_001,5,20260726,0.0,0,0.0,nan,nan,nan,0.0303,0.0303,0.0303,0.0303,0.0
BNCI2015_001,5,20260726,0.2,0,0.2,0.5194,0.2458,0.2736,0.035,0.02,0.0172,0.0528,0.0578
BNCI2015_001,5,20260726,0.4,0,0.4,0.7174,0.2674,0.45,0.0303,0.0219,-0.0006,0.0939,0.1572
BNCI2015_001,6,20260726,0.0,0,0.0,nan,nan,nan,0.0075,0.0075,0.0075,0.0075,0.0
BNCI2015_001,6,20260726,0.2,0,0.0889,0.4375,0.2781,0.1594,-0.0056,0.0067,0.0123,0.0217,0.0192
BNCI2015_001,6,20260726,0.4,0,0.1778,0.5281,0.1953,0.3328,-0.0061,0.0128,0.0037,0.0164,0.0631
BNCI2015_001,7,20260726,0.0,0,0.0,nan,nan,nan,0.0395,0.0395,0.0395,0.0395,0.0
BNCI2015_001,7,20260726,0.2,0,0.1474,0.3929,0.2036,0.1893,0.0558,0.0326,0.0544,0.0834,0.0245
BNCI2015_001,7,20260726,0.4,0,0.2947,0.7107,0.1902,0.5205,-0.0066,0.0339,0.0169,0.1105,0.1489
BNCI2015_001,8,20260726,0.0,0,0.0,nan,nan,nan,0.0819,0.0819,0.0819,0.0819,0.0
BNCI2015_001,8,20260726,0.2,0,0.1556,0.4607,0.1964,0.2643,0.1381,0.0628,0.0659,0.1206,0.0447
BNCI2015_001,8,20260726,0.4,0,0.3111,0.7152,0.2152,0.5,0.0869,0.0631,0.0703,0.0906,0.1431
BNCI2015_001,9,20260726,0.0,0,0.0,nan,nan,nan,0.0278,0.0278,0.0278,0.0278,0.0
BNCI2015_001,9,20260726,0.2,0,0.0889,0.4094,0.2437,0.1656,0.0433,0.0164,0.0183,0.0406,0.0158
BNCI2015_001,9,20260726,0.4,0,0.1778,0.5719,0.175,0.3969,0.0428,0.0072,0.0037,0.0489,0.0719
BNCI2014_001,1,20260727,0.0,0,0.0,nan,nan,nan,0.0075,0.0075,0.0075,0.0075,0.0
BNCI2014_001,1,20260727,0.2,0,0.1997,0.458,0.0797,0.3783,-0.02,0.0075,0.0002,0.0446,0.123
BNCI2014_001,1,20260727,0.4,0,0.3993,0.6754,0.0812,0.5942,-0.057,-0.0026,-0.0211,0.0428,0.2804
BNCI2014_001,2,20260727,0.0,0,0.0,nan,nan,nan,0.0095,0.0095,0.0095,0.0095,0.0
BNCI2014_001,2,20260727,0.2,0,0.1997,0.5,0.113,0.387,0.0127,0.0069,-0.0008,0.0214,0.1105
BNCI2014_001,2,20260727,0.4,0,0.316,0.6255,0.1346,0.4908,-0.0043,0.0038,-0.007,0.0203,0.1687
BNCI2014_001,3,20260727,0.0,0,0.0,nan,nan,nan,0.009,0.009,0.009,0.009,0.0
BNCI2014_001,3,20260727,0.2,0,0.1997,0.5391,0.1855,0.3536,-0.0046,0.0032,0.0029,0.0347,0.0822
BNCI2014_001,3,20260727,0.4,0,0.3495,0.7103,0.178,0.5323,0.0064,0.0101,-0.005,0.031,0.1279
BNCI2014_001,4,20260727,0.0,0,0.0,nan,nan,nan,-0.0014,-0.0014,-0.0014,-0.0014,0.0
BNCI2014_001,4,20260727,0.2,0,0.1997,0.5435,0.0841,0.4594,-0.0492,0.0046,-0.0205,-0.0188,0.1149
BNCI2014_001,4,20260727,0.4,0,0.3993,0.7297,0.0935,0.6362,-0.053,-0.0014,-0.0306,0.0194,0.2526
BNCI2014_001,5,20260727,0.0,0,0.0,nan,nan,nan,0.0038,0.0038,0.0038,0.0038,0.0
BNCI2014_001,5,20260727,0.2,0,0.1997,0.5333,0.1652,0.3681,-0.0043,0.0064,0.0292,0.0451,0.0752
BNCI2014_001,5,20260727,0.4,0,0.3657,0.6013,0.1717,0.4296,0.0041,0.0078,0.0006,0.0266,0.1534
BNCI2014_001,6,20260727,0.0,0,0.0,nan,nan,nan,0.0098,0.0098,0.0098,0.0098,0.0
BNCI2014_001,6,20260727,0.2,0,0.1997,0.5406,0.1116,0.429,0.0142,0.0067,0.0094,0.0394,0.1215
BNCI2014_001,6,20260727,0.4,0,0.3657,0.7516,0.1384,0.6131,-0.0668,-0.0032,0.0093,0.07,0.1962
BNCI2014_001,7,20260727,0.0,0,0.0,nan,nan,nan,0.0052,0.0052,0.0052,0.0052,0.0
BNCI2014_001,7,20260727,0.2,0,0.1997,0.5203,0.0855,0.4348,-0.011,0.0012,-0.0358,-0.0223,0.1097
BNCI2014_001,7,20260727,0.4,0,0.3657,0.7112,0.1013,0.61,-0.0671,-0.0,-0.0408,-0.0272,0.2315
BNCI2014_001,8,20260727,0.0,0,0.0,nan,nan,nan,0.0093,0.0093,0.0093,0.0093,0.0
BNCI2014_001,8,20260727,0.2,0,0.1997,0.571,0.1797,0.3913,-0.0043,0.0058,0.0012,0.015,0.0888
BNCI2014_001,8,20260727,0.4,0,0.3495,0.6689,0.1358,0.5331,-0.0168,0.0084,-0.0169,0.0295,0.1803
BNCI2014_001,9,20260727,0.0,0,0.0,nan,nan,nan,0.0072,0.0072,0.0072,0.0072,0.0
BNCI2014_001,9,20260727,0.2,0,0.1997,0.5478,0.1362,0.4116,0.0124,-0.0032,-0.0053,0.0072,0.0952
BNCI2014_001,9,20260727,0.4,0,0.3495,0.6995,0.1465,0.553,0.0075,0.0081,-0.001,0.0278,0.1791
BNCI2015_001,10,20260727,0.0,0,0.0,nan,nan,nan,0.0419,0.0419,0.0419,0.0419,0.0
BNCI2015_001,10,20260727,0.2,0,0.1778,0.5281,0.3156,0.2125,0.0489,0.0222,0.0516,0.0842,0.0344
BNCI2015_001,10,20260727,0.4,0,0.3556,0.7242,0.307,0.4172,0.1006,0.0264,0.0357,0.1078,0.1242
BNCI2015_001,11,20260727,0.0,0,0.0,nan,nan,nan,0.0255,0.0255,0.0255,0.0255,0.0
BNCI2015_001,11,20260727,0.2,0,0.1474,0.2571,0.0911,0.1661,0.0234,0.0218,0.0143,0.0387,0.0539
BNCI2015_001,11,20260727,0.4,0,0.2947,0.6018,0.1062,0.4955,-0.0076,0.0045,0.0301,0.0513,0.1997
BNCI2015_001,12,20260727,0.0,0,0.0,nan,nan,nan,0.0179,0.0179,0.0179,0.0179,0.0
BNCI2015_001,12,20260727,0.2,0,0.1474,0.4446,0.2268,0.2179,0.0613,0.0182,0.0233,0.0558,0.0447
BNCI2015_001,12,20260727,0.4,0,0.2947,0.633,0.1982,0.4348,0.0592,0.0105,-0.0144,0.0521,0.1608
BNCI2015_001,1,20260727,0.0,0,0.0,nan,nan,nan,0.0632,0.0632,0.0632,0.0632,0.0
BNCI2015_001,1,20260727,0.2,0,0.1474,0.6321,0.3625,0.2696,0.0155,0.0589,0.0527,0.0784,0.0416
BNCI2015_001,1,20260727,0.4,0,0.2947,0.8187,0.383,0.4357,0.0213,0.0347,0.0159,0.06,0.0971
BNCI2015_001,2,20260727,0.0,0,0.0,nan,nan,nan,0.0575,0.0575,0.0575,0.0575,0.0
BNCI2015_001,2,20260727,0.2,0,0.1333,0.6583,0.3937,0.2646,0.0969,0.0567,0.0557,0.1006,0.0361
BNCI2015_001,2,20260727,0.4,0,0.2667,0.7635,0.3937,0.3698,0.0825,0.0589,0.0489,0.1142,0.0903
BNCI2015_001,3,20260727,0.0,0,0.0,nan,nan,nan,0.0455,0.0455,0.0455,0.0455,0.0
BNCI2015_001,3,20260727,0.2,0,0.1895,0.5056,0.2847,0.2208,0.0582,0.0226,0.0231,0.0558,0.0405
BNCI2015_001,3,20260727,0.4,0,0.3789,0.7806,0.2806,0.5,0.0274,0.0311,0.0253,0.0908,0.1671
BNCI2015_001,4,20260727,0.0,0,0.0,nan,nan,nan,0.0216,0.0216,0.0216,0.0216,0.0
BNCI2015_001,4,20260727,0.2,0,0.1474,0.4786,0.2643,0.2143,-0.0005,0.0311,0.0285,0.0882,0.0211
BNCI2015_001,4,20260727,0.4,0,0.2947,0.7348,0.3,0.4348,0.0068,0.0547,-0.0136,0.0621,0.1047
BNCI2015_001,5,20260727,0.0,0,0.0,nan,nan,nan,0.0461,0.0461,0.0461,0.0461,0.0
BNCI2015_001,5,20260727,0.2,0,0.1556,0.4482,0.2625,0.1857,0.0411,0.0292,0.0503,0.0617,0.0325
BNCI2015_001,5,20260727,0.4,0,0.3111,0.6402,0.2304,0.4098,0.045,0.0458,0.0319,0.1433,0.1308
BNCI2015_001,6,20260727,0.0,0,0.0,nan,nan,nan,0.0032,0.0032,0.0032,0.0032,0.0
BNCI2015_001,6,20260727,0.2,0,0.1895,0.4639,0.2014,0.2625,-0.0053,0.0029,-0.0054,0.0116,0.0737
BNCI2015_001,6,20260727,0.4,0,0.3789,0.8271,0.2049,0.6222,0.0058,0.0047,-0.0187,0.0039,0.2363
BNCI2015_001,7,20260727,0.0,0,0.0,nan,nan,nan,0.0235,0.0235,0.0235,0.0235,0.0
BNCI2015_001,7,20260727,0.2,0,0.2,0.57,0.225,0.345,-0.0275,0.0185,0.0122,0.0665,0.0777
BNCI2015_001,7,20260727,0.4,0,0.4,0.8169,0.245,0.5719,-0.0673,0.0138,0.0028,0.0463,0.206
